,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Genre
0,0.844,0.688,1,26.121,0,0.049,0.0129,5.39e-05,0.0492,0.695,124.992,185662,House
1,0.602,0.91,7,30.596,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018,House
2,0.587,0.742,6,27.36,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000,House
3,0.561,0.965,7,30.327,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238,House
4,0.754,0.763,7,29.373,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819,House
5,0.628,0.801,3,27.937,0,0.0374,0.0866,0.128,0.124,0.668,125.003,138240,House
6,0.824,0.862,2,30.576,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,House
7,0.578,0.912,1,30.071,1,0.114,0.0166,0.00362,0.273,0.68,127.87,177525,House
8,0.683,0.887,6,29.056,0,0.0497,0.0125,0.446,0.318,0.551,132.007,267947,House
9,0.566,0.91,8,29.958,0,0.0374,0.0234,2.78e-06,0.426,0.38,126.019,201905,House
10,0.686,0.892,10,30.814,0,0.0498,0.0577,7.11e-06,0.0838,0.752,126.03,157206,House
11,0.854,0.806,11,25.738,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890,House
12,0.724,0.78,1,27.182,1,0.0583,0.0361,5.65e-06,0.458,0.284,116.0,180000,House
13,0.774,0.73,7,27.423,1,0.0408,0.00158,0.675,0.217,0.629,123.026,189268,House
14,0.671,0.782,6,29.407,1,0.0341,0.0142,0.00221,0.333,0.618,123.989,178088,House
15,0.62,0.744,9,29.459,0,0.107,0.0631,1.19e-06,0.46,0.332,128.141,149531,House
16,0.791,0.862,9,30.76,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,House
17,0.845,0.797,1,29.016,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,151475,House
18,0.639,0.904,3,29.764,0,0.0533,0.0513,3.31e-05,0.0862,0.538,125.914,164286,House
19,0.787,0.833,8,29.597,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,162604,House
20,0.727,0.681,5,26.886,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,House
21,0.614,0.748,8,29.573,1,0.0539,0.0926,0.0,0.152,0.573,123.947,174194,House
